team_name,rider_name,rider_id,points
Jumbo-Visma (WT),VINGEGAARD Jonas,rider/jonas-vingegaard-rasmussen,4
Jumbo-Visma (WT),BENOOT Tiesj,rider/tiesj-benoot,0
Jumbo-Visma (WT),KELDERMAN Wilco,rider/wilco-kelderman,0
Jumbo-Visma (WT),KUSS Sepp,rider/sepp-kuss,0
Jumbo-Visma (WT),LAPORTE Christophe,rider/christophe-laporte,2
Jumbo-Visma (WT),VAN AERT Wout,rider/wout-van-aert,4
Jumbo-Visma (WT),VAN BAARLE Dylan,rider/dylan-van-baarle,0
Jumbo-Visma (WT),VAN HOOYDONCK Nathan,rider/nathan-van-hooydonck,0
UAE Team Emirates (WT),POGAČAR Tadej,rider/tadej-pogacar,4
UAE Team Emirates (WT),BJERG Mikkel,rider/mikkel-bjerg,0
UAE Team Emirates (WT),GROßSCHARTNER Felix,rider/felix-grossschartner,0
UAE Team Emirates (WT),LAENGEN Vegard Stake,rider/vegard-stake-laengen,0
UAE Team Emirates (WT),MAJKA Rafał,rider/rafal-majka,0
UAE Team Emirates (WT),SOLER Marc,rider/marc-soler,0
UAE Team Emirates (WT),TRENTIN Matteo,rider/matteo-trentin,0
UAE Team Emirates (WT),YATES Adam,rider/adam-yates,0
INEOS Grenadiers (WT),BERNAL Egan,rider/egan-bernal,0
INEOS Grenadiers (WT),CASTROVIEJO Jonathan,rider/jonathan-castroviejo,0
INEOS Grenadiers (WT),FRAILE Omar,rider/omar-fraile,0
INEOS Grenadiers (WT),KWIATKOWSKI Michał,rider/michal-kwiatkowski,0
INEOS Grenadiers (WT),MARTÍNEZ Daniel Felipe,rider/daniel-felipe-martinez,0
INEOS Grenadiers (WT),PIDCOCK Thomas,rider/thomas-pidcock,2
INEOS Grenadiers (WT),RODRÍGUEZ Carlos,rider/carlos-rodriguez-cano,0
INEOS Grenadiers (WT),TURNER Ben,rider/ben-turner,0
Groupama - FDJ (WT),GAUDU David,rider/david-gaudu,2
Groupama - FDJ (WT),GENIETS Kevin,rider/kevin-geniets,0
Groupama - FDJ (WT),KÜNG Stefan,rider/stefan-kung,0
Groupama - FDJ (WT),LE GAC Olivier,rider/olivier-le-gac,0
Groupama - FDJ (WT),MADOUAS Valentin,rider/valentin-madouas,0
Groupama - FDJ (WT),PACHER Quentin,rider/quentin-pacher,0
Groupama - FDJ (WT),PINOT Thibaut,rider/thibaut-pinot,0
Groupama - FDJ (WT),VAN DEN BERG Lars,rider/lars-van-den-berg,0
EF Education-EasyPost (WT),CARAPAZ Richard,rider/richard-carapaz,0
EF Education-EasyPost (WT),AMADOR Andrey,rider/andrey-amador,0
EF Education-EasyPost (WT),BETTIOL Alberto,rider/alberto-bettiol,0
EF Education-EasyPost (WT),CHAVES Esteban,rider/johan-esteban-chaves,0
EF Education-EasyPost (WT),CORT Magnus,rider/magnus-cort-nielsen,0
EF Education-EasyPost (WT),POWLESS Neilson,rider/neilson-powless,0
EF Education-EasyPost (WT),SHAW James,rider/james-shaw,0
EF Education-EasyPost (WT),URÁN Rigoberto,rider/rigoberto-uran,0
Soudal - Quick Step (WT),ALAPHILIPPE Julian,rider/julian-alaphilippe,2
Soudal - Quick Step (WT),ASGREEN Kasper,rider/kasper-asgreen,0
Soudal - Quick Step (WT),CAVAGNA Rémi,rider/remi-cavagna,0
Soudal - Quick Step (WT),DECLERCQ Tim,rider/tim-declercq,0
Soudal - Quick Step (WT),DEVENYNS Dries,rider/dries-devenyns,0
Soudal - Quick Step (WT),JAKOBSEN Fabio,rider/fabio-jakobsen,4
Soudal - Quick Step (WT),LAMPAERT Yves,rider/yves-lampaert,0
Soudal - Quick Step (WT),MØRKØV Michael,rider/michael-morkov,0
Bahrain - Victorious (WT),LANDA Mikel,rider/mikel-landa,0
Bahrain - Victorious (WT),ARNDT Nikias,rider/nikias-arndt,0
Bahrain - Victorious (WT),BAUHAUS Phil,rider/phil-bauhaus,0
Bahrain - Victorious (WT),BILBAO Pello,rider/pello-bilbao,0
Bahrain - Victorious (WT),HAIG Jack,rider/jack-haig,0
Bahrain - Victorious (WT),MOHORIČ Matej,rider/matej-mohoric,0
Bahrain - Victorious (WT),POELS Wout,rider/wout-poels,0
Bahrain - Victorious (WT),WRIGHT Fred,rider/alfred-wright,0
BORA - hansgrohe (WT),HINDLEY Jai,rider/jai-hindley,0
BORA - hansgrohe (WT),BUCHMANN Emanuel,rider/emanuel-buchmann,0
BORA - hansgrohe (WT),HALLER Marco,rider/marco-haller,0
BORA - hansgrohe (WT),JUNGELS Bob,rider/bob-jungels,0
BORA - hansgrohe (WT),KONRAD Patrick,rider/patrick-konrad,0
BORA - hansgrohe (WT),MEEUS Jordi,rider/jordi-meeus,0
